Qid,title,options.A,options.B,options.C,options.D,answer,explanation,difficulty,topics
QA_ALG_PROGRESSIONS_003,Sample easy question 3 from Progressions.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Progressions question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_004,Sample easy question 4 from Progressions.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Progressions question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_005,Sample medium question 5 from Progressions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Progressions question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_006,Sample medium question 6 from Progressions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Progressions question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_007,Sample medium question 7 from Progressions.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Progressions question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_008,Sample medium question 8 from Progressions.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Progressions question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_009,Sample hard question 9 from Progressions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Progressions question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_010,Sample hard question 10 from Progressions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Progressions question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_001,Sample easy question 1 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time Speed & Distance question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_002,Sample easy question 2 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time Speed & Distance question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_003,Sample easy question 3 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Time Speed & Distance question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_004,Sample easy question 4 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Time Speed & Distance question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_005,Sample medium question 5 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time Speed & Distance question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_006,Sample medium question 6 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time Speed & Distance question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_007,Sample medium question 7 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Time Speed & Distance question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_008,Sample medium question 8 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Time Speed & Distance question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_009,Sample hard question 9 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time Speed & Distance question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_TIME_SPEED_AND_DISTANCE_010,Sample hard question 10 from Time Speed & Distance.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time Speed & Distance question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Time Speed & Distance""]"
QA_ALG_QUADRATIC_EQUATIONS_001,Sample easy question 1 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Quadratic Equations question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_002,Sample easy question 2 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Quadratic Equations question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_003,Sample easy question 3 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Quadratic Equations question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_004,Sample easy question 4 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Quadratic Equations question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_005,Sample medium question 5 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Quadratic Equations question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_006,Sample medium question 6 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Quadratic Equations question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_007,Sample medium question 7 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Quadratic Equations question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_008,Sample medium question 8 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Quadratic Equations question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_009,Sample hard question 9 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Quadratic Equations question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_QUADRATIC_EQUATIONS_010,Sample hard question 10 from Quadratic Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Quadratic Equations question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Quadratic Equations""]"
QA_ALG_SIMPLE_EQUATIONS_001,Sample easy question 1 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Simple Equations question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_002,Sample easy question 2 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Simple Equations question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_003,Sample easy question 3 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Simple Equations question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_004,Sample easy question 4 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Simple Equations question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_005,Sample medium question 5 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Simple Equations question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_006,Sample medium question 6 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Simple Equations question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_007,Sample medium question 7 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Simple Equations question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_008,Sample medium question 8 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Simple Equations question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_009,Sample hard question 9 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Simple Equations question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_SIMPLE_EQUATIONS_010,Sample hard question 10 from Simple Equations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Simple Equations question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Simple Equations""]"
QA_ALG_TIME_AND_WORK_001,Sample easy question 1 from Time & Work.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time & Work question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_002,Sample easy question 2 from Time & Work.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time & Work question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_003,Sample easy question 3 from Time & Work.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Time & Work question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_004,Sample easy question 4 from Time & Work.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Time & Work question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_005,Sample medium question 5 from Time & Work.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time & Work question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_006,Sample medium question 6 from Time & Work.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time & Work question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_007,Sample medium question 7 from Time & Work.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Time & Work question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_008,Sample medium question 8 from Time & Work.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Time & Work question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_009,Sample hard question 9 from Time & Work.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Time & Work question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
QA_ALG_TIME_AND_WORK_010,Sample hard question 10 from Time & Work.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Time & Work question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Time & Work""]"
