Qid,title,options.A,options.B,options.C,options.D,answer,explanation,difficulty,topics
QA_HCF_AND_LCM_003,Sample easy question 3 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for HCF & LCM question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_004,Sample easy question 4 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for HCF & LCM question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_005,Sample medium question 5 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for HCF & LCM question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_006,Sample medium question 6 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for HCF & LCM question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_007,Sample medium question 7 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for HCF & LCM question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_008,Sample medium question 8 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for HCF & LCM question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_009,Sample hard question 9 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for HCF & LCM question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_010,Sample hard question 10 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for HCF & LCM question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_MIXTURE_AND_ALLIGATION_001,Sample easy question 1 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Mixture & Alligation question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_002,Sample easy question 2 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Mixture & Alligation question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_003,Sample easy question 3 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Mixture & Alligation question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_004,Sample easy question 4 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Mixture & Alligation question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_005,Sample medium question 5 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Mixture & Alligation question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_006,Sample medium question 6 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Mixture & Alligation question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_007,Sample medium question 7 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Mixture & Alligation question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_008,Sample medium question 8 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Mixture & Alligation question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_009,Sample hard question 9 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Mixture & Alligation question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_MIXTURE_AND_ALLIGATION_010,Sample hard question 10 from Mixture & Alligation.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Mixture & Alligation question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Mixture & Alligation""]"
QA_NUMBERS_001,Sample easy question 1 from Numbers.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Numbers question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_002,Sample easy question 2 from Numbers.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Numbers question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_003,Sample easy question 3 from Numbers.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Numbers question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_004,Sample easy question 4 from Numbers.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Numbers question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_005,Sample medium question 5 from Numbers.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Numbers question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_006,Sample medium question 6 from Numbers.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Numbers question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_007,Sample medium question 7 from Numbers.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Numbers question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_008,Sample medium question 8 from Numbers.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Numbers question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_009,Sample hard question 9 from Numbers.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Numbers question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_NUMBERS_010,Sample hard question 10 from Numbers.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Numbers question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Numbers""]"
QA_PERCENTAGE_001,Sample easy question 1 from Percentage.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Percentage question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_002,Sample easy question 2 from Percentage.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Percentage question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_003,Sample easy question 3 from Percentage.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Percentage question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_004,Sample easy question 4 from Percentage.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Percentage question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_005,Sample medium question 5 from Percentage.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Percentage question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_006,Sample medium question 6 from Percentage.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Percentage question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_007,Sample medium question 7 from Percentage.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Percentage question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_008,Sample medium question 8 from Percentage.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Percentage question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_009,Sample hard question 9 from Percentage.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Percentage question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PERCENTAGE_010,Sample hard question 10 from Percentage.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Percentage question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Percentage""]"
QA_PROFIT_AND_LOSS_001,Sample easy question 1 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Profit & Loss question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_002,Sample easy question 2 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Profit & Loss question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_003,Sample easy question 3 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Profit & Loss question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_004,Sample easy question 4 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Profit & Loss question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_005,Sample medium question 5 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Profit & Loss question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_006,Sample medium question 6 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Profit & Loss question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_007,Sample medium question 7 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Profit & Loss question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_008,Sample medium question 8 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Profit & Loss question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_009,Sample hard question 9 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Profit & Loss question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_PROFIT_AND_LOSS_010,Sample hard question 10 from Profit & Loss.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Profit & Loss question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Profit & Loss""]"
QA_RATIOS_AND_PROPORTIONS_001,Sample easy question 1 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Ratios & Proportions question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_002,Sample easy question 2 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Ratios & Proportions question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_003,Sample easy question 3 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Ratios & Proportions question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_004,Sample easy question 4 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Ratios & Proportions question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_005,Sample medium question 5 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Ratios & Proportions question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_006,Sample medium question 6 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Ratios & Proportions question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_007,Sample medium question 7 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Ratios & Proportions question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_008,Sample medium question 8 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Ratios & Proportions question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_009,Sample hard question 9 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Ratios & Proportions question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_RATIOS_AND_PROPORTIONS_010,Sample hard question 10 from Ratios & Proportions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Ratios & Proportions question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Ratios & Proportions""]"
QA_REMAINDERS_001,Sample easy question 1 from Remainders.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Remainders question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_002,Sample easy question 2 from Remainders.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Remainders question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_003,Sample easy question 3 from Remainders.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Remainders question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_004,Sample easy question 4 from Remainders.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Remainders question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_005,Sample medium question 5 from Remainders.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Remainders question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_006,Sample medium question 6 from Remainders.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Remainders question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_007,Sample medium question 7 from Remainders.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Remainders question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_008,Sample medium question 8 from Remainders.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Remainders question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_009,Sample hard question 9 from Remainders.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Remainders question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_REMAINDERS_010,Sample hard question 10 from Remainders.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Remainders question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Remainders""]"
QA_VARIATIONS_001,Sample easy question 1 from Variations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Variations question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_002,Sample easy question 2 from Variations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Variations question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_003,Sample easy question 3 from Variations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Variations question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_004,Sample easy question 4 from Variations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Variations question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_005,Sample medium question 5 from Variations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Variations question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_006,Sample medium question 6 from Variations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Variations question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_007,Sample medium question 7 from Variations.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Variations question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_008,Sample medium question 8 from Variations.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Variations question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_009,Sample hard question 9 from Variations.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Variations question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VARIATIONS_010,Sample hard question 10 from Variations.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Variations question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Variations""]"
QA_VBODMAS_AND_CYCLICITY_001,Sample easy question 1 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for VBODMAS & Cyclicity question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_002,Sample easy question 2 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for VBODMAS & Cyclicity question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_003,Sample easy question 3 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for VBODMAS & Cyclicity question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_004,Sample easy question 4 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for VBODMAS & Cyclicity question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_005,Sample medium question 5 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for VBODMAS & Cyclicity question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_006,Sample medium question 6 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for VBODMAS & Cyclicity question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_007,Sample medium question 7 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for VBODMAS & Cyclicity question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
QA_VBODMAS_AND_CYCLICITY_008,Sample medium question 8 from VBODMAS & Cyclicity.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for VBODMAS & Cyclicity question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""VBODMAS & Cyclicity""]"
